Symbol,MyID,Name,IsETF
FE,2704,Firstenergy Corp.,0
FFIV,2734,F5 Inc,0
FGEN,2743,FibroGen Inc,0
FIS,2775,"Fidelity National Information Services, Inc.",0
FISV,2778,"Fiserv, Inc.",0
FITB,2780,Fifth Third Bancorp,0
FIXX,10210,Homology Medicines Inc,0
FLGT,2802,Fulgent Genetics Inc,0
FLT,2825,Fleetcor Technologies Inc,0
FMC,2837,FMC Corp.,0
FOLD,2885,Amicus Therapeutics Inc,0
FRC,2920,First Republic Bank,0
FRT,2939,Federal Realty Investment Trust.,0
FTCH,10810,Farfetch Ltd - Class A,0
FTNT,2980,Fortinet Inc,0
FTV,2988,Fortive Corp,0
GBR,3088,New Concept Energy Inc,0
GD,3103,General Dynamics Corp.,0
GDX,3117,VanEck ETF Trust - VanEck Gold Miners ETF,0
GE,3121,General Electric Co.,0
GERN,3139,Geron Corp.,0
GH,10875,Guardant Health Inc,0
GILD,3185,"Gilead Sciences, Inc.",0
GIS,3189,"General Mills, Inc.",0
GL,11851,Globe Life Inc,0
GLD,3206,SSgA Active Trust - SPDR Gold Shares ETF,0
GLPG,3220,Galapagos NV - ADR,0
GLW,3230,"Corning, Inc.",0
GM,3232,General Motors Company,0
GMDA,10963,Gamida Cell Ltd,0
GNRC,3260,Generac Holdings Inc,0
GOOG,3279,Alphabet Inc - Class C,0
GOOGL,3280,Alphabet Inc - Class A,0
GORO,3282,Gold Resource Corporation,0
GOVT,3285,BlackRock Institutional Trust Company N.A. - iShares U.S. Treasury Bond ETF,0
GPC,3289,Genuine Parts Co.,0
GPN,3299,"Global Payments, Inc.",0
GRFS,3317,Grifols SA - ADR - Level III,0
GRMN,3321,Garmin Ltd,0
GS,3335,"Goldman Sachs Group, Inc.",0
GTHX,8446,G1 Therapeutics Inc,0
GWW,3414,W.W. Grainger Inc.,0
HAL,3438,Halliburton Co.,0
HALO,3440,Halozyme Therapeutics Inc.,0
HAS,3443,"Hasbro, Inc.",0
HBAN,3449,"Huntington Bancshares, Inc.",0
HCA,3464,HCA Healthcare Inc,0
HD,3481,"Home Depot, Inc.",0
HEI,3508,Heico Corp.,0
HES,3514,Hess Corporation,0
HIG,3557,Hartford Financial Services Group Inc.,0
HII,3560,Huntington Ingalls Industries Inc,0
HLT,3583,Hilton Worldwide Holdings Inc,0
HOLX,3609,"Hologic, Inc.",0
HON,3613,Honeywell International Inc,0
